"id","volume","year","journal_id"
0,"7",2022.0,"0"
1,14,2022.0,"1"
2,"4",2022.0,"0"
3,"0",2022.0,"0"
4,"3",2021.0,"0"
5,"0",2021.0,"0"
6,"1",2019.0,"0"
7,13,2021.0,"1"
8,"1",2021.0,"0"
9,"1",2022.0,"0"
10,"5",2021.0,"0"
11,"8",2021.0,"0"
12,12,2020.0,"1"
13,"2",2019.0,"0"
14,24,2022.0,"2"
15,"9",2022.0,"0"
16,"1",2020.0,"0"
17,"5",2019.0,"0"
18,"6",2019.0,"0"
19,"3",2022.0,"0"
20,"3",2016.0,"0"
21,"2",2020.0,"0"
22,"7",2021.0,"0"
23,"6",2022.0,"0"
24,"3",2019.0,"0"
25,"5",2022.0,"0"
26,"2",2022.0,"0"
27,"8",2022.0,"0"
28,"0",2019.0,"0"
29,"0",2020.0,"0"
30,"9",2019.0,"0"
31,"5",2020.0,"0"
32,"6",2015.0,"0"
33,"4",2021.0,"0"
34,"4",2020.0,"0"
35,"4",2019.0,"0"
36,"4",2017.0,"0"
37,"6",2021.0,"0"
38,"3",2020.0,"0"
39,"9",2020.0,"0"
40,11,2019.0,"1"
41,"7",2019.0,"0"
42,"1",2014.0,"0"
43,9,2017.0,"1"
44,"9",2021.0,"0"
45,"8",2020.0,"0"
46,"1",2013.0,"0"
47,"2",2021.0,"0"
48,22,2020.0,"2"
49,"4",2023.0,"0"
50,"7",2017.0,"0"
51,"5",2017.0,"0"
52,"8",2015.0,"0"
53,"0",2015.0,"0"
54,7,2015.0,"1"
55,"6",2016.0,"0"
56,"2",2015.0,"0"
57,"5",2013.0,"0"
58,8,2016.0,"1"
59,"7",2020.0,"0"
60,"4",2016.0,"0"
61,"6",2020.0,"0"
62,23,2021.0,"2"
63,"8",2017.0,"0"
64,"8",2019.0,"0"
65,"1",2011.0,"0"
66,"3",2015.0,"0"
67,"9",2023.0,"0"
68,"3",2012.0,"0"
69,"9",2017.0,"0"
70,"5",2014.0,"0"
71,"9",2014.0,"0"
72,"7",2018.0,"0"
73,"9",2015.0,"0"
74,"6",2018.0,"0"
75,"8",2013.0,"0"
76,"9",2016.0,"0"
77,"7",2009.0,"0"
78,"7",2016.0,"0"
79,"8",2018.0,"0"
80,"9",2012.0,"0"
81,59,2012.0,"3"
82,"4",2011.0,"0"
83,"2",2017.0,"0"
84,"2",2023.0,"0"
85,2,2010.0,"1"
86,"3",2010.0,"0"
87,"1",2018.0,"0"
88,"3",2014.0,"0"
89,66,2019.0,"3"
90,"1",2009.0,"0"
91,10,2018.0,"1"
92,"0",2018.0,"0"
93,"0",2016.0,"0"
94,"4",2018.0,"0"
95,47,2000.0,"3"
96,"5",2012.0,"0"
97,"5",2016.0,"0"
98,"0",2012.0,"0"
99,63,2016.0,"3"
100,6,2014.0,"1"
101,5,2013.0,"1"
102,69,2022.0,"3"
103,10,2008.0,"2"
104,65,2018.0,"3"
105,61,2014.0,"3"
106,15,2013.0,"2"
107,58,2011.0,"3"
108,"9",2018.0,"0"
109,57,2010.0,"3"
110,56,2009.0,"3"
111,55,2008.0,"3"
112,54,2007.0,"3"
113,"9",2013.0,"0"
114,20,2018.0,"2"
115,49,2002.0,"3"
116,"0",2001.0,"0"
117,"9",2010.0,"0"
118,"3",2017.0,"0"
119,"3",2004.0,"0"
120,"2",2018.0,"0"
121,"2",2016.0,"0"
122,"2",2014.0,"0"
123,"2",2013.0,"0"
124,"2",2011.0,"0"
125,"2",2006.0,"0"
126,"1",2023.0,"0"
127,"1",2017.0,"0"
128,"1",2016.0,"0"
129,"1",2015.0,"0"
130,"1",2012.0,"0"
131,"1",2008.0,"0"
132,"0",2023.0,"0"
133,"0",2017.0,"0"
134,"0",2014.0,"0"
135,"0",2013.0,"0"
136,"3",2011.0,"0"
137,"4",2009.0,"0"
138,"9",2009.0,"0"
139,"4",2012.0,"0"
140,"8",2010.0,"0"
141,"7",2015.0,"0"
142,"7",2014.0,"0"
143,"7",2011.0,"0"
144,"7",2010.0,"0"
145,"6",2023.0,"0"
146,"6",2014.0,"0"
147,"6",2013.0,"0"
148,"6",2012.0,"0"
149,"5",2023.0,"0"
150,"0",2009.0,"0"
151,"5",2018.0,"0"
152,"5",2015.0,"0"
153,"5",2009.0,"0"
154,"5",2008.0,"0"
155,"4",2014.0,"0"
156,"4",2013.0,"0"
157,15,2023.0,"1"
